p0	p1	p2	p3	p4	total	unknown
22276	0	8583463	171973	73657	9188660	337291
60298	0	7559181	544576	182088	9188660	842517
55129	0	7983437	499303	183715	9188660	467076
33002	0	8346585	239172	144396	9188660	425505
73826	0	7037163	667425	247210	9188660	1163036
32632	0	8421586	242986	111532	9188660	379924
22372	0	8558000	165071	56294	9188660	386923
106538	0	6332233	1008418	342784	9188660	1398687
21637	0	8551124	202119	46031	9188660	367749
47932	0	8082227	381500	177969	9188660	499032
118634	3810544	2442365	1082148	386430	9188660	1348539
136454	0	6055262	1375681	373310	9188660	1247953
63540	0	7677112	532404	254059	9188660	661545
26082	0	8510846	203751	96276	9188660	351705
37911	0	8330812	300166	139774	9188660	379997
43613	0	8151264	370268	156583	9188660	466932
52592	0	8011052	497607	148467	9188660	478942
49586	0	8093071	459116	122345	9188660	464542
81766	0	7565633	705604	294958	9188660	540699
16635	0	8677143	117525	49592	9188660	327765
86338	0	7445360	780463	312341	9188660	564158
21053	0	8565043	148219	75907	9188660	378438
26540	0	8455270	212617	87204	9188660	407029
42339	0	8202307	369001	135392	9188660	439621
88675	0	7476757	870252	278183	9188660	474793
1168	0	8953486	0	0	9188660	234006
14580	0	8716198	118746	29432	9188660	309704
86625	0	7395527	769166	317922	9188660	619420
53905	0	7986227	544122	119994	9188660	484412
19566	0	8619333	150210	61262	9188660	338289
64697	0	7341458	573113	218267	9188660	991125
39064	0	8076873	334013	125810	9188660	612900
21874	0	8589770	173015	60585	9188660	343416
133296	1427476	3938948	1239432	422331	9188660	2027177
24513	0	8538396	209963	75579	9188660	340209
99352	230554	6857579	865323	377081	9188660	758771
136859	80290	5069047	1280076	483083	9188660	2139305
48500	0	8073901	372193	217118	9188660	476948
27786	0	8489039	196458	118742	9188660	356635
94511	1116633	6104457	782595	377003	9188660	713461
19762	0	8593077	134631	48218	9188660	392972
24398	0	8484213	204566	72333	9188660	403150
36275	0	8353511	284056	122881	9188660	391937
41798	0	8223208	409890	101287	9188660	412477
71763	0	7719770	621695	269077	9188660	506355
23860	0	8533711	214280	67199	9188660	349610
938	0	8954356	0	0	9188660	233366
34711	0	8373096	268699	131504	9188660	380650
26555	1001695	7491357	226788	71733	9188660	370532
26359	0	8502003	206884	91883	9188660	361531
16405	0	8687911	129686	50979	9188660	303679
24735	0	8530373	183250	62656	9188660	387646
43155	0	8207685	386088	136104	9188660	415628
49329	0	8106925	460877	132334	9188660	439195
36385	0	8331387	318985	104526	9188660	397377
38259	0	8287939	337563	126506	9188660	398393
33415	0	8370641	234805	127256	9188660	422543
873	0	8962632	0	0	9188660	225155
50259	0	8060631	470282	135973	9188660	471515
88324	0	7524950	811558	285661	9188660	478167
40411	0	8280594	381328	93463	9188660	392864
24627	0	8518481	193725	79674	9188660	372153
104925	0	7271462	971145	350006	9188660	491122
35065	0	8372703	296750	105318	9188660	378824
17429	0	8665125	120198	66143	9188660	319765
62148	0	7610492	542329	203666	9188660	770025
25562	0	8504121	186707	90674	9188660	381596
45568	757316	7383498	388892	157236	9188660	456150
18816	0	8633727	158705	49868	9188660	327544
46593	0	8128972	434908	142891	9188660	435296
90297	0	7418460	763029	365756	9188660	551118
34665	720823	7660813	281486	110788	9188660	380085
115989	0	6604732	1092409	361628	9188660	1013902
139970	482251	5514264	1314779	432688	9188660	1304708
76369	1853407	5187509	718009	232395	9188660	1120971
126736	0	6451234	1208851	372034	9188660	1029805
36965	0	8316926	298383	132072	9188660	404314
116138	2839857	3320563	1061608	388324	9188660	1462170
28283	0	8444022	273711	73565	9188660	369079
71339	0	7756235	614718	262356	9188660	484012
36417	579680	7718208	282481	157828	9188660	414046
88007	4680658	2091261	768896	304952	9188660	1254886
38214	0	8320527	311276	141556	9188660	377087
49615	426880	7645517	452262	143926	9188660	470460
40484	0	8215609	351010	144691	9188660	436866
36683	0	8331494	273546	153168	9188660	393769
22513	0	8553963	173449	80241	9188660	358494
103203	0	7048392	971654	337665	9188660	727746
37698	0	8312464	303955	133406	9188660	401137
61749	0	7793124	538133	213602	9188660	582052
37951	0	8336707	304330	122336	9188660	387336
130102	2829117	2579234	1292145	360332	9188660	1997730
40087	0	8263937	283846	181849	9188660	418941
726	0	8969375	0	0	9188660	218559
75414	0	7666910	698053	224640	9188660	523643
27884	0	8455188	229294	93586	9188660	382708
39539	0	8273749	342046	129220	9188660	404106
150415	811165	4059407	1375687	514464	9188660	2277522
80853	0	7537215	779839	248050	9188660	542703
38918	0	8291130	329685	123100	9188660	405827
51596	0	8009813	457118	155910	9188660	514223
28964	0	8453363	230458	96215	9188660	379660
224217	483438	5940329	911602	302128	9188660	1326946
23747	0	8574145	184250	67302	9188660	339216
116520	507979	5282782	1115732	342147	9188660	1823500
52950	236717	7718870	469387	155514	9188660	555222
2686	0	8948442	0	0	9188660	237532
22948	0	8556685	175627	92417	9188660	340983
73616	0	8364973	246021	94313	9188660	409737
76008	0	6997014	709878	210768	9188660	1194992
42006	0	8247435	348685	158595	9188660	391939
46698	0	8142298	462028	103431	9188660	434205
59859	0	7992157	523333	210628	9188660	402683
45287	0	8168046	420166	145090	9188660	410071
48410	0	8057890	464106	123575	9188660	494679
829	0	8969137	0	0	9188660	218694
