Sample	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
s229-c58.2-2.500-HFWGVBBXX-l3	230.87	38927081.0	50.0	29432564.0	75.61	49.83	6060047.0	6022467.0	6013085.0	37162.0	4089.0	5711.0	0.13	0.0	1.26	0.0	1.2	7063015.0	18.14	84239.0	0.22	0.0	5.97	0.06	0.0	0.0
s061-c25.1-0.000-HCHFWBBXX-l5	177.6	23284962.0	50.0	20599924.0	88.47	49.88	3604416.0	3578129.0	3571434.0	26408.0	3006.0	3568.0	0.13	0.0	1.42	0.0	1.22	2456163.0	10.55	39889.0	0.17	0.0	0.69	0.12	0.0	0.0
s221-c52.2-0.000-HCMJNBBXX-l6	124.46	28625948.0	50.0	24685708.0	86.24	49.83	4466921.0	4437295.0	4429284.0	29136.0	3705.0	4796.0	0.12	0.0	1.47	0.0	1.21	3266825.0	11.41	56417.0	0.2	0.0	2.04	0.12	0.0	0.0
s112-c31.1-0.625-HCHFWBBXX-l6	1.12	23990.0	50.0	10933.0	45.57	49.81	1631.0	1600.0	1617.0	6.0	4.0	4.0	0.16	0.01	1.44	0.01	1.27	1692.0	7.05	52.0	0.22	0.0	46.98	0.18	0.0	0.0
s180-c56-5.000-HFWGVBBXX-l1	102.52	19564968.0	50.0	13053462.0	66.72	49.85	2476761.0	2462000.0	2459376.0	12851.0	2171.0	2363.0	0.13	0.0	1.3	0.0	1.19	3772126.0	19.28	55050.0	0.28	0.0	13.66	0.06	0.0	0.0
s184-c57-2.500-HFJTMBBXX-l4	96.21	25496440.0	50.0	13081026.0	51.31	49.84	2486362.0	2469720.0	2465785.0	15784.0	2377.0	2416.0	0.13	0.0	1.33	0.0	1.19	5454094.0	21.39	65452.0	0.26	0.0	27.0	0.05	0.0	0.0
s011-c60.1-0.000-HCMYYBBXX-l4	155.9	8401515.0	50.0	7305067.0	86.95	49.84	1326031.0	1317185.0	1313891.0	9401.0	1205.0	1534.0	0.12	0.0	1.48	0.0	1.24	1007175.0	11.99	14754.0	0.18	0.0	0.79	0.09	0.0	0.0
s187-c62-0.625-HFJTMBBXX-l4	114.18	14938935.0	50.0	12269960.0	82.13	49.83	1971199.0	1950802.0	1953014.0	13978.0	1712.0	2495.0	0.14	0.0	1.44	0.0	1.22	1822702.0	12.2	35838.0	0.24	0.0	5.26	0.17	0.0	0.0
s118-c33.1-1.250-HCMNYBBXX-l3	42.32	18574203.0	50.0	14825028.0	79.82	49.84	2719767.0	2696147.0	2697079.0	17540.0	2219.0	2929.0	0.18	0.0	1.41	0.0	1.21	2807769.0	15.12	39568.0	0.21	0.0	4.75	0.1	0.0	0.0
s152-c45-0.625-HCN2JBBXX-l5	15.1	14831988.0	50.0	12346191.0	83.24	49.83	1968653.0	1949049.0	1950412.0	14014.0	1777.0	2450.0	0.13	0.0	1.4	0.0	1.23	1926049.0	12.99	47083.0	0.32	0.0	3.29	0.17	0.0	0.0
s213-c26.2-1.250-HCMJNBBXX-l5	170.63	19812382.0	50.0	16063113.0	81.08	49.83	3142331.0	3118243.0	3116137.0	19923.0	2764.0	3507.0	0.14	0.0	1.38	0.0	1.2	3107713.0	15.69	44521.0	0.22	0.0	2.94	0.07	0.0	0.0
s026-c70.1-0.000-HCHFWBBXX-l3	135.22	16339169.0	50.0	14265097.0	87.31	49.86	2540783.0	2522165.0	2517844.0	18234.0	2197.0	2508.0	0.14	0.0	1.44	0.0	1.22	1895994.0	11.6	31095.0	0.19	0.0	0.78	0.12	0.0	0.0
s181-c57-0.000-HFJTMBBXX-l4	89.65	23607620.0	50.0	19936707.0	84.45	49.86	3530831.0	3507261.0	3499520.0	24377.0	3637.0	3297.0	0.12	0.0	1.41	0.0	1.2	2744469.0	11.63	48640.0	0.21	0.0	3.61	0.11	0.0	0.0
s051-c7.2-0.000-HCHFWBBXX-l4	126.25	26653739.0	50.0	22488948.0	84.37	49.89	4472827.0	4438584.0	4432076.0	33092.0	3599.0	4060.0	0.11	0.0	1.43	0.0	1.27	3170098.0	11.89	47108.0	0.18	0.0	3.44	0.11	0.0	0.0
s222-c52.2-0.625-HFWGVBBXX-l3	76.56	37874031.0	50.0	32999476.0	87.13	49.84	5533043.0	5482775.0	5482738.0	39023.0	4541.0	6741.0	0.13	0.0	1.46	0.0	1.21	4080706.0	10.77	74115.0	0.2	0.0	1.76	0.14	0.0	0.0
s096-c22-0.000-HCMJNBBXX-l2	139.82	17710219.0	50.0	13629305.0	76.96	49.91	2674956.0	2655481.0	2652709.0	17939.0	2308.0	2000.0	0.1	0.0	1.46	0.0	1.24	2455274.0	13.86	35861.0	0.2	0.0	8.88	0.1	0.0	0.0
s050-c19.1-5.000-HCHFWBBXX-l4	265.09	26730301.0	50.0	21504036.0	80.45	49.87	4560602.0	4530833.0	4525437.0	27212.0	3867.0	4086.0	0.12	0.0	1.34	0.0	1.23	4991656.0	18.67	71414.0	0.27	0.0	0.54	0.07	0.0	0.0
s212-c26.2-0.625-HFWGVBBXX-l2	41.93	19509313.0	50.0	16814195.0	86.19	49.83	2738773.0	2709625.0	2712428.0	20233.0	2480.0	3632.0	0.13	0.0	1.45	0.0	1.21	2180538.0	11.18	41944.0	0.21	0.0	2.27	0.16	0.0	0.0
s216-c46.1-0.000-HCMJNBBXX-l5	156.85	40344136.0	50.0	33655277.0	83.42	49.84	5928110.0	5886733.0	5876527.0	40019.0	5537.0	6027.0	0.13	0.0	1.49	0.0	1.22	4825533.0	11.96	78185.0	0.19	0.0	4.32	0.1	0.0	0.0
s219-c46.1-2.500-HFWGVBBXX-l2	39.94	17561187.0	50.0	12001533.0	68.34	49.83	2396009.0	2380937.0	2377539.0	14221.0	2039.0	2210.0	0.12	0.0	1.38	0.0	1.2	2754613.0	15.69	38428.0	0.22	0.0	15.7	0.06	0.0	0.0
s224-c52.2-2.500-HFWGVBBXX-l3	136.63	40572524.0	50.0	30231014.0	74.51	49.83	6265094.0	6226864.0	6220417.0	34062.0	4601.0	6014.0	0.14	0.0	1.36	0.0	1.2	8058591.0	19.86	103943.0	0.26	0.0	5.31	0.06	0.0	0.0
s214-c26.2-2.500-HFWGVBBXX-l2	44.32	20450725.0	50.0	16243575.0	79.43	49.83	3277525.0	3255847.0	3250996.0	20211.0	2804.0	3514.0	0.12	0.0	1.36	0.0	1.19	3449417.0	16.87	49917.0	0.24	0.0	3.39	0.07	0.0	0.0
s068-c10.1-1.250-HCHFWBBXX-l5	146.5	16806534.0	50.0	13139891.0	78.18	49.89	2579751.0	2550422.0	2556932.0	18416.0	1913.0	2490.0	0.13	0.0	1.46	0.0	1.29	2656098.0	15.8	39238.0	0.23	0.0	5.66	0.12	0.0	0.0
s149-c44-2.500-HFJTMBBXX-l3	110.62	15302387.0	50.0	10483041.0	68.51	49.83	2100458.0	2087669.0	2084089.0	12698.0	1730.0	1941.0	0.13	0.0	1.38	0.0	1.2	2179805.0	14.24	29146.0	0.19	0.0	17.0	0.06	0.0	0.0
s204-c73.1-2.500-HFWGVBBXX-l2	191.23	22734958.0	50.0	17025654.0	74.89	49.84	3381160.0	3361206.0	3353468.0	21365.0	3151.0	3176.0	0.12	0.01	1.41	0.0	1.19	3896918.0	17.14	55104.0	0.24	0.0	7.67	0.06	0.0	0.0
s132-c37-0.625-HFJTMBBXX-l2	140.47	10457458.0	50.0	6518243.0	62.33	49.83	1153540.0	1142543.0	1144023.0	7142.0	1029.0	1346.0	0.12	0.01	1.4	0.0	1.19	1686266.0	16.13	26136.0	0.25	0.0	21.2	0.09	0.0	0.0
s183-c57-1.250-HCMJNBBXX-l4	32.01	13977615.0	50.0	8451615.0	60.47	49.84	1581111.0	1570155.0	1568163.0	9823.0	1584.0	1541.0	0.14	0.0	1.3	0.0	1.19	3145760.0	22.51	42609.0	0.3	0.0	16.67	0.06	0.0	0.0
s209-c14-2.500-HCMJNBBXX-l5	50.27	11618381.0	50.0	4510770.0	38.82	49.83	909401.0	903438.0	902331.0	5308.0	882.0	880.0	0.14	0.01	1.35	0.0	1.18	1850266.0	15.93	20590.0	0.18	0.0	45.04	0.04	0.0	0.0
s166-c54.1-0.000-HCN2JBBXX-l6	5.07	4125345.0	50.0	3497731.0	84.79	49.82	627620.0	623373.0	621921.0	4428.0	593.0	678.0	0.12	0.0	1.47	0.0	1.21	520586.0	12.62	7644.0	0.19	0.0	2.3	0.11	0.0	0.0
s220-c46.1-5.000-HFWGVBBXX-l2	44.03	21625623.0	50.0	9753935.0	45.1	49.83	1905892.0	1892769.0	1892643.0	9966.0	1491.0	1792.0	0.12	0.01	1.36	0.0	1.2	3925764.0	18.15	49391.0	0.23	0.0	36.47	0.04	0.0	0.0
s133-c37-1.250-HCMJNBBXX-l3	15.54	5828613.0	50.0	3202819.0	54.95	49.84	624011.0	620159.0	619454.0	3445.0	513.0	599.0	0.16	0.01	1.37	0.0	1.18	1012679.0	17.37	13914.0	0.24	0.0	27.39	0.05	0.0	0.0
s202-c73.1-0.625-HFWGVBBXX-l2	48.76	22742644.0	50.0	18601983.0	81.79	49.84	2977379.0	2947469.0	2948122.0	22598.0	2777.0	3882.0	0.12	0.01	1.44	0.0	1.22	3068633.0	13.49	52550.0	0.23	0.0	4.33	0.15	0.0	0.0
