Sample	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
s073-c11.1-1.250-HCMNYBBXX-l2	82.5	15859110.0	50.0	11805937.0	74.44	49.88	2519148.0	2494921.0	2499856.0	15471.0	1594.0	2227.0	0.13	0.0	1.34	0.0	1.27	2678730.0	16.89	34090.0	0.21	0.0	8.36	0.09	0.0	0.0
s191-c63.1-0.000-HCMJNBBXX-l4	21.77	10630210.0	50.0	9166761.0	86.23	49.87	1611729.0	1600874.0	1596846.0	11696.0	1421.0	1766.0	0.13	0.0	1.48	0.0	1.22	1188942.0	11.18	20357.0	0.19	0.0	2.28	0.11	0.0	0.0
s161-c51-0.000-HCN2JBBXX-l6	25.02	11877111.0	50.0	10183257.0	85.74	49.83	2040835.0	2031191.0	2028255.0	9391.0	1241.0	1948.0	0.12	0.0	1.51	0.0	1.24	1356015.0	11.42	21484.0	0.18	0.0	2.57	0.09	0.0	0.0
s067-c10.1-0.625-HCMNYBBXX-l2	240.93	36005223.0	50.0	28560230.0	79.32	49.88	5243277.0	5189509.0	5192390.0	40949.0	4438.0	5500.0	0.13	0.0	1.52	0.0	1.31	4980485.0	13.83	77238.0	0.21	0.0	6.49	0.14	0.0	0.0
s034-c39.1-2.500-HCHFWBBXX-l3	97.86	17044316.0	50.0	13432263.0	78.81	49.84	2598640.0	2582273.0	2577031.0	16805.0	2150.0	2654.0	0.16	0.0	1.3	0.0	1.22	3436888.0	20.16	40295.0	0.24	0.0	0.73	0.06	0.0	0.0
s144-c43.1-2.500-HFJTMBBXX-l3	124.11	12755388.0	50.0	9831719.0	77.08	49.85	1987623.0	1974544.0	1973284.0	11140.0	1424.0	1775.0	0.14	0.01	1.31	0.0	1.2	2168363.0	17.0	29632.0	0.23	0.0	5.61	0.08	0.0	0.0
s075-c11.1-5.000-HCHFWBBXX-l5	124.94	15408865.0	50.0	10782479.0	69.98	49.88	2471368.0	2454426.0	2453969.0	13996.0	1416.0	1987.0	0.13	0.0	1.29	0.0	1.25	2961752.0	19.22	33197.0	0.22	0.0	10.53	0.06	0.0	0.0
s002-c64-0.625-HCMYYBBXX-l4	159.93	25366344.0	50.0	21290320.0	83.93	49.88	3855216.0	3819008.0	3824013.0	24355.0	3069.0	3779.0	0.14	0.0	1.44	0.01	1.21	3751091.0	14.79	99445.0	0.39	0.0	0.74	0.14	0.0	0.0
s126-c36-0.000-HFJTMBBXX-l2	132.24	15317678.0	50.0	12845774.0	83.86	49.86	2346101.0	2329914.0	2326791.0	14772.0	2246.0	2292.0	0.11	0.0	1.49	0.0	1.23	1883044.0	12.29	32402.0	0.21	0.0	3.52	0.11	0.0	0.0
s119-c33.1-2.500-HCMNYBBXX-l3	33.94	15736764.0	50.0	10584549.0	67.26	49.72	2169454.0	2150934.0	2151026.0	13618.0	1802.0	3008.0	0.22	0.0	1.52	0.0	1.24	3411459.0	21.68	42766.0	0.27	0.0	10.71	0.08	0.0	0.0
s190-c62-5.000-HCMJNBBXX-l4	35.12	18311136.0	50.0	14462228.0	78.98	49.85	2966771.0	2949258.0	2945387.0	16390.0	2289.0	2705.0	0.15	0.0	1.36	0.0	1.19	2880455.0	15.73	45736.0	0.25	0.0	4.97	0.07	0.0	0.0
s142-c43.1-0.625-HFJTMBBXX-l3	210.52	14619125.0	50.0	12586751.0	86.1	49.85	1953939.0	1935426.0	1934684.0	15033.0	1700.0	2522.0	0.13	0.01	1.43	0.0	1.23	1629953.0	11.15	33461.0	0.23	0.0	2.34	0.18	0.0	0.0
s011-c60.1-0.000-HCGYCBBXX-l5	124.65	21398276.0	50.0	18591041.0	86.88	49.82	3359821.0	3337186.0	3328695.0	24062.0	3031.0	4033.0	0.18	0.0	1.45	0.0	1.22	2605207.0	12.17	36737.0	0.17	0.0	0.68	0.09	0.0	0.0
s032-c39.1-0.625-HCHFWBBXX-l3	122.65	20918672.0	50.0	17926098.0	85.69	49.84	3076282.0	3049771.0	3045989.0	23738.0	2854.0	3701.0	0.15	0.0	1.42	0.0	1.24	2769415.0	13.24	39128.0	0.19	0.0	0.77	0.11	0.0	0.0
s085-c17.1-5.000-HFJYFBBXX-l2	146.77	12964433.0	50.0	5771438.0	44.52	49.91	1324720.0	1313089.0	1315121.0	7494.0	972.0	1133.0	0.11	0.0	1.2	0.0	1.24	1774712.0	13.69	20701.0	0.16	0.0	41.58	0.05	0.0	0.0
s228-c58.2-1.250-HFWGVBBXX-l3	76.33	41067780.0	50.0	32764901.0	79.78	49.84	5798285.0	5743051.0	5746059.0	41680.0	3911.0	6635.0	0.13	0.01	1.28	0.0	1.22	6372462.0	15.52	89833.0	0.22	0.0	4.38	0.1	0.0	0.0
s200-c72-5.000-HCMJNBBXX-l4	83.84	18212010.0	50.0	8732919.0	47.95	49.85	1720444.0	1709656.0	1707403.0	10049.0	1487.0	1505.0	0.13	0.01	1.29	0.0	1.2	4006398.0	22.0	44461.0	0.24	0.0	29.76	0.04	0.0	0.0
s115-c31.1-5.000-HCHFWBBXX-l6	117.19	23503239.0	50.0	18134740.0	77.16	49.84	3570574.0	3546272.0	3544696.0	20093.0	2411.0	3374.0	0.14	0.01	1.34	0.0	1.21	4251376.0	18.09	56303.0	0.24	0.0	4.44	0.08	0.0	0.0
s148-c44-1.250-HFJTMBBXX-l3	179.11	26369549.0	50.0	20010794.0	75.89	49.84	3833304.0	3809477.0	3802934.0	23501.0	3250.0	3619.0	0.13	0.0	1.34	0.0	1.21	4014736.0	15.22	57759.0	0.22	0.0	8.6	0.07	0.0	0.0
s033-c39.1-1.250-HCMYYBBXX-l5	164.66	25887545.0	50.0	21230121.0	82.01	49.83	3567622.0	3530271.0	3534157.0	25413.0	3143.0	4909.0	0.13	0.0	1.37	0.0	1.23	4279357.0	16.53	61281.0	0.24	0.0	1.11	0.12	0.0	0.0
s120-c33.1-5.000-HCMNYBBXX-l3	5.55	1690169.0	50.0	1095827.0	64.84	49.88	214296.0	212839.0	213056.0	949.0	156.0	135.0	0.17	0.0	1.38	0.0	1.26	439827.0	26.02	5399.0	0.32	0.0	8.76	0.06	0.0	0.0
s208-c14-1.250-HCMJNBBXX-l5	23.87	5012927.0	50.0	2740951.0	54.68	49.84	530475.0	526985.0	526331.0	3191.0	491.0	462.0	0.14	0.01	1.32	0.0	1.19	922901.0	18.41	11535.0	0.23	0.0	26.63	0.05	0.0	0.0
s097-c22-0.625-HCMJNBBXX-l2	26.24	11721071.0	50.0	7582951.0	64.7	49.9	1374699.0	1359196.0	1362662.0	9656.0	1142.0	1239.0	0.12	0.0	1.43	0.0	1.24	1921276.0	16.39	38323.0	0.33	0.0	18.47	0.12	0.0	0.0
s103-c29.1-1.250-HCMNYBBXX-l3	75.29	10143778.0	50.0	8101034.0	79.86	49.78	1328080.0	1313200.0	1316209.0	8585.0	1124.0	2162.0	0.19	0.01	1.39	0.0	1.22	1470919.0	14.5	24051.0	0.24	0.0	5.26	0.14	0.0	0.0
s199-c72-2.500-HFJTMBBXX-l4	96.97	24188464.0	50.0	14216588.0	58.77	49.84	2780721.0	2763859.0	2759189.0	16559.0	2467.0	2506.0	0.12	0.0	1.32	0.0	1.19	4092712.0	16.92	52105.0	0.22	0.0	24.04	0.05	0.0	0.0
s060-c32-5.000-HCMYYBBXX-l6	165.0	39371857.0	50.0	28010055.0	71.14	49.88	6222489.0	6186966.0	6176754.0	35735.0	4943.0	5057.0	0.11	0.0	1.41	0.0	1.25	7388982.0	18.77	94860.0	0.24	0.0	9.79	0.06	0.0	0.0
s027-c70.1-0.625-HCHFWBBXX-l3	131.13	19268353.0	50.0	16588495.0	86.09	49.86	2751567.0	2724114.0	2726805.0	19402.0	2272.0	3088.0	0.15	0.0	1.41	0.0	1.22	2435744.0	12.64	44541.0	0.23	0.0	0.89	0.15	0.0	0.0
s145-c43.1-5.000-HCN2JBBXX-l5	32.36	13286404.0	50.0	10258372.0	77.21	49.85	2024543.0	2011088.0	2008804.0	12246.0	1511.0	1982.0	0.14	0.01	1.34	0.0	1.2	2308169.0	17.37	32821.0	0.25	0.0	5.08	0.09	0.0	0.0
s194-c63.1-2.500-HCMJNBBXX-l4	103.34	29421847.0	50.0	23177783.0	78.78	49.85	4571231.0	4542211.0	4535409.0	28178.0	3250.0	4394.0	0.14	0.0	1.38	0.0	1.22	5074090.0	17.25	70078.0	0.24	0.0	3.67	0.07	0.0	0.0
s037-c2.1-0.625-HCMYYBBXX-l5	38.56	14739472.0	50.0	12593561.0	85.44	49.85	2039365.0	2018301.0	2019660.0	15112.0	1910.0	2683.0	0.12	0.0	1.41	0.0	1.22	1964798.0	13.33	35199.0	0.24	0.0	0.83	0.16	0.0	0.0
s043-c15.1-1.250-HCMYYBBXX-l6	5.75	28752.0	50.0	22283.0	77.5	49.85	4193.0	4153.0	4152.0	31.0	4.0	6.0	0.13	0.01	1.59	0.0	1.23	4833.0	16.81	79.0	0.27	0.0	5.3	0.12	0.0	0.0
s182-c57-0.625-HFJTMBBXX-l4	74.32	25434512.0	50.0	18491022.0	72.7	49.84	3004366.0	2971261.0	2975590.0	22418.0	2735.0	3623.0	0.14	0.0	1.37	0.0	1.21	3774212.0	14.84	112137.0	0.44	0.0	11.87	0.15	0.0	0.0
s023-c21.1-1.250-HCHFWBBXX-l3	119.88	18281890.0	50.0	14966191.0	81.86	49.85	2540997.0	2514724.0	2518486.0	17441.0	2011.0	3059.0	0.16	0.0	1.31	0.01	1.21	3116476.0	17.05	44047.0	0.24	0.0	0.73	0.12	0.0	0.0
s151-c45-0.000-HCN2JBBXX-l5	11.79	13471658.0	50.0	11500508.0	85.37	49.84	2020731.0	2007004.0	2003898.0	12899.0	1904.0	2030.0	0.12	0.0	1.43	0.0	1.21	1597806.0	11.86	25755.0	0.19	0.0	2.47	0.11	0.0	0.0
s165-c51-5.000-HFWGVBBXX-l1	82.0	25602975.0	50.0	20120492.0	78.59	49.83	4930617.0	4913437.0	4911543.0	13807.0	1522.0	3745.0	0.14	0.0	1.45	0.0	1.28	4105369.0	16.03	52606.0	0.21	0.0	5.12	0.05	0.0	0.0
s154-c45-2.500-HCN2JBBXX-l5	91.24	19819884.0	50.0	14960819.0	75.48	49.84	2873019.0	2855452.0	2852318.0	15975.0	2295.0	2431.0	0.13	0.0	1.31	0.0	1.2	3548082.0	17.9	48846.0	0.25	0.0	6.3	0.07	0.0	0.0
s196-c72-0.000-HFJTMBBXX-l4	210.78	13642177.0	50.0	11401060.0	83.57	49.86	1971460.0	1958711.0	1953432.0	14108.0	1907.0	2013.0	0.12	0.0	1.46	0.0	1.22	1637087.0	12.0	26075.0	0.19	0.0	4.12	0.11	0.0	0.0
s076-c12.1-0.000-HCMNYBBXX-l2	129.73	18630132.0	50.0	14743045.0	79.14	49.89	2997471.0	2972276.0	2970618.0	22114.0	2204.0	2535.0	0.12	0.0	1.4	0.0	1.29	2742631.0	14.72	35103.0	0.19	0.0	5.85	0.11	0.0	0.0
s010-c41-5.000-HCGYCBBXX-l5	88.45	23585955.0	50.0	18699043.0	79.28	49.86	3832344.0	3810437.0	3803527.0	22486.0	3269.0	3062.0	0.17	0.0	1.43	0.0	1.2	4671718.0	19.81	65853.0	0.28	0.0	0.57	0.07	0.0	0.0
s001-c64-0.000-HCGYCBBXX-l5	128.36	24388937.0	50.0	21216471.0	86.99	49.85	3797740.0	3772493.0	3767597.0	23546.0	3290.0	3307.0	0.17	0.0	1.5	0.01	1.22	2886407.0	11.83	50139.0	0.21	0.0	0.85	0.11	0.0	0.0
s192-c63.1-0.625-HCMJNBBXX-l4	58.4	14648530.0	50.0	12734655.0	86.93	49.85	2107597.0	2088016.0	2087336.0	15798.0	1800.0	2663.0	0.14	0.0	1.47	0.0	1.23	1565948.0	10.69	29630.0	0.2	0.0	2.04	0.14	0.0	0.0
s228-c58.2-1.250-HCMJNBBXX-l6	193.06	24829069.0	50.0	19700799.0	79.35	49.83	3480241.0	3446969.0	3449242.0	24682.0	2332.0	3985.0	0.13	0.01	1.26	0.0	1.21	3841682.0	15.47	53971.0	0.22	0.0	4.86	0.1	0.0	0.0
s004-c64-2.500-HCGYCBBXX-l5	125.71	25560618.0	50.0	20509967.0	80.24	49.86	4167785.0	4144094.0	4138693.0	22532.0	3249.0	3311.0	0.17	0.0	1.41	0.0	1.2	4611667.0	18.04	69536.0	0.27	0.0	1.38	0.07	0.0	0.0
s016-c47.1-0.000-HCGYCBBXX-l5	293.81	15424921.0	50.0	13001645.0	84.29	49.89	2369227.0	2352092.0	2346450.0	18420.0	2046.0	2311.0	0.16	0.0	1.4	0.0	1.21	1776228.0	11.52	29918.0	0.19	0.0	3.89	0.11	0.0	0.0
s030-c70.1-5.000-HCHFWBBXX-l3	108.44	19278824.0	50.0	15666556.0	81.26	49.87	3221520.0	3202040.0	3197510.0	18983.0	2367.0	2660.0	0.14	0.0	1.32	0.0	1.19	3417499.0	17.73	47430.0	0.25	0.0	0.69	0.07	0.0	0.0
s147-c44-0.625-HFJTMBBXX-l3	95.89	11533583.0	50.0	9522155.0	82.56	49.82	1614132.0	1597342.0	1599596.0	11134.0	1388.0	2014.0	0.14	0.0	1.41	0.0	1.22	1346156.0	11.67	56238.0	0.49	0.0	5.13	0.15	0.0	0.0
s024-c21.1-2.500-HCMYYBBXX-l5	79.29	11122498.0	50.0	8764059.0	78.8	49.85	1760233.0	1749052.0	1746517.0	10848.0	1270.0	1598.0	0.12	0.0	1.28	0.0	1.19	2222134.0	19.98	26720.0	0.24	0.0	0.92	0.07	0.0	0.0
s112-c31.1-0.625-HCMNYBBXX-l3	43.62	19254926.0	50.0	15881627.0	82.48	49.84	2512030.0	2486821.0	2487855.0	18894.0	2131.0	3150.0	0.18	0.01	1.41	0.0	1.24	2599256.0	13.5	42764.0	0.22	0.0	3.65	0.15	0.0	0.0
s063-c25.1-1.250-HCMNYBBXX-l2	51.21	3300146.0	50.0	2815831.0	85.32	49.83	486779.0	481601.0	482596.0	3226.0	396.0	561.0	0.15	0.0	1.31	0.0	1.23	453325.0	13.74	7290.0	0.22	0.0	0.58	0.14	0.0	0.0
s207-c14-0.625-HCMJNBBXX-l5	63.17	10212959.0	50.0	6242802.0	61.13	49.82	1093305.0	1081441.0	1083878.0	7057.0	967.0	1403.0	0.15	0.01	1.39	0.0	1.19	2042021.0	19.99	27010.0	0.26	0.0	18.52	0.09	0.0	0.0
s080-c12.1-5.000-HCHFWBBXX-l5	119.24	17654622.0	50.0	12999167.0	73.63	49.91	2897590.0	2874260.0	2876621.0	16593.0	1849.0	2527.0	0.12	0.0	1.31	0.0	1.27	3751728.0	21.25	42414.0	0.24	0.0	4.81	0.07	0.0	0.0
s118-c33.1-1.250-HCHFWBBXX-l6	152.82	21776539.0	50.0	17464544.0	80.2	49.84	3208312.0	3180407.0	3181100.0	21165.0	2574.0	3473.0	0.12	0.0	1.43	0.0	1.21	3278957.0	15.06	46494.0	0.21	0.0	4.43	0.1	0.0	0.0
s078-c12.1-1.250-HCHFWBBXX-l5	82.15	15038167.0	50.0	11533873.0	76.7	49.89	2522405.0	2502142.0	2503486.0	15210.0	1696.0	2013.0	0.12	0.0	1.29	0.0	1.29	2423491.0	16.12	28526.0	0.19	0.0	6.92	0.07	0.0	0.0
s114-c31.1-2.500-HCMNYBBXX-l3	26.94	9145656.0	50.0	6918901.0	75.65	49.84	1326162.0	1316564.0	1316451.0	7469.0	969.0	1273.0	0.19	0.01	1.34	0.0	1.23	1486895.0	16.26	21985.0	0.24	0.0	7.76	0.09	0.0	0.0
s022-c21.1-0.625-HCMYYBBXX-l5	134.12	11362951.0	50.0	9782037.0	86.09	49.86	1541091.0	1526154.0	1525857.0	11840.0	1429.0	1965.0	0.12	0.0	1.4	0.01	1.22	1438820.0	12.66	23808.0	0.21	0.0	0.89	0.15	0.0	0.0
s098-c22-1.250-HCMJNBBXX-l2	25.5	27182827.0	50.0	16137005.0	59.36	49.9	3450440.0	3423345.0	3424488.0	20761.0	2447.0	2744.0	0.11	0.0	1.33	0.0	1.25	5131704.0	18.88	55921.0	0.21	0.0	21.49	0.06	0.0	0.0
s017-c47.1-0.625-HCMYYBBXX-l4	155.79	41068037.0	50.0	35583997.0	86.65	49.89	5834031.0	5777753.0	5777088.0	45214.0	4960.0	6769.0	0.11	0.0	1.42	0.0	1.2	5016571.0	12.22	101819.0	0.25	0.0	0.73	0.16	0.0	0.0
s036-c2.1-0.000-HCHFWBBXX-l3	128.89	21875334.0	50.0	18968264.0	86.71	49.88	3378761.0	3355465.0	3348179.0	23590.0	3362.0	3630.0	0.13	0.0	1.45	0.0	1.29	2688538.0	12.29	45082.0	0.21	0.0	0.68	0.11	0.0	0.0
s152-c45-0.625-HFJTMBBXX-l3	107.9	14655987.0	50.0	12216126.0	83.35	49.82	1948356.0	1928551.0	1930230.0	13915.0	1653.0	2558.0	0.14	0.0	1.42	0.0	1.22	1892336.0	12.91	47167.0	0.32	0.0	3.24	0.17	0.0	0.0
s129-c36-2.500-HFJTMBBXX-l2	215.63	14674643.0	50.0	8607821.0	58.66	49.85	1705747.0	1694639.0	1693265.0	9376.0	1610.0	1496.0	0.12	0.0	1.41	0.0	1.21	2260621.0	15.4	32044.0	0.22	0.0	25.66	0.06	0.0	0.0
s180-c56-5.000-HCN2JBBXX-l6	17.36	6472980.0	50.0	4296611.0	66.38	49.84	815480.0	810592.0	809784.0	4162.0	797.0	737.0	0.12	0.01	1.31	0.0	1.2	1242356.0	19.19	18142.0	0.28	0.0	14.09	0.06	0.0	0.0
s091-c27-0.000-HCMJNBBXX-l2	11.95	5954624.0	50.0	4982809.0	83.68	49.9	953867.0	947525.0	946610.0	5677.0	770.0	810.0	0.11	0.0	1.52	0.0	1.32	816295.0	13.71	11801.0	0.2	0.0	2.31	0.1	0.0	0.0
s139-c38-2.500-HFJTMBBXX-l2	172.74	22359623.0	50.0	15583657.0	69.7	49.87	2994941.0	2976818.0	2971267.0	18465.0	2677.0	2532.0	0.11	0.0	1.38	0.0	1.19	4257234.0	19.04	58019.0	0.26	0.0	10.94	0.07	0.0	0.0
s015-c60.1-5.000-HCMYYBBXX-l4	96.51	17076338.0	50.0	13575144.0	79.5	49.88	2818596.0	2801827.0	2795814.0	17829.0	2072.0	2881.0	0.11	0.0	1.35	0.0	1.26	3303552.0	19.35	42284.0	0.25	0.0	0.84	0.07	0.0	0.0
s005-c64-5.000-HCMYYBBXX-l4	124.89	18143344.0	50.0	14376702.0	79.24	49.88	2495764.0	2481440.0	2477010.0	14137.0	2308.0	2309.0	0.11	0.01	1.49	0.01	1.21	3295980.0	18.17	58148.0	0.32	0.0	2.19	0.08	0.0	0.0
s094-c27-2.500-HCMJNBBXX-l2	15.46	18442049.0	50.0	14039983.0	76.13	49.9	3083853.0	3065344.0	3063614.0	15910.0	1949.0	2380.0	0.12	0.0	1.46	0.0	1.3	3641133.0	19.74	48117.0	0.26	0.0	3.79	0.07	0.0	0.0
s225-c52.2-5.000-HCMJNBBXX-l6	161.36	22411193.0	50.0	16861817.0	75.24	49.83	3442645.0	3422201.0	3418825.0	17872.0	2698.0	3250.0	0.13	0.0	1.36	0.0	1.2	4392722.0	19.6	59828.0	0.27	0.0	4.83	0.06	0.0	0.0
s134-c37-2.500-HFJTMBBXX-l2	171.61	10963682.0	50.0	5680708.0	51.81	49.84	1132856.0	1126214.0	1124733.0	6056.0	949.0	1118.0	0.11	0.01	1.38	0.0	1.18	2015041.0	18.38	26065.0	0.24	0.0	29.52	0.05	0.0	0.0
s065-c25.1-5.000-HCHFWBBXX-l5	137.49	19095621.0	50.0	15296765.0	80.11	49.84	2864544.0	2844552.0	2840042.0	19353.0	2183.0	2966.0	0.15	0.01	1.28	0.01	1.2	3573007.0	18.71	52775.0	0.28	0.0	0.81	0.1	0.0	0.0
s046-c19.1-0.000-HCHFWBBXX-l4	8.12	78968.0	50.0	34851.0	44.13	49.82	6702.0	6648.0	6641.0	49.0	7.0	5.0	0.13	0.0	1.46	0.0	1.22	5770.0	7.31	83.0	0.11	0.0	48.4	0.06	0.0	0.0
s131-c37-0.000-HFJTMBBXX-l2	206.33	17996991.0	50.0	14156140.0	78.66	49.84	2439208.0	2422440.0	2419231.0	15014.0	2346.0	2617.0	0.11	0.0	1.45	0.0	1.19	2391807.0	13.29	37548.0	0.21	0.0	7.73	0.11	0.0	0.0
s089-c18-2.500-HFJYFBBXX-l2	198.48	13838293.0	50.0	10288151.0	74.35	49.92	2343333.0	2325945.0	2326192.0	13769.0	1759.0	1613.0	0.1	0.0	1.35	0.0	1.24	2830196.0	20.45	35144.0	0.25	0.0	4.89	0.06	0.0	0.0
s070-c10.1-5.000-HCMNYBBXX-l2	120.13	12313782.0	50.0	8294255.0	67.36	49.88	1951821.0	1936748.0	1937836.0	11268.0	1196.0	1521.0	0.13	0.0	1.4	0.0	1.28	2404992.0	19.53	27735.0	0.23	0.0	12.83	0.06	0.0	0.0
s149-c44-2.500-HCN2JBBXX-l5	31.15	16563172.0	50.0	11283915.0	68.13	49.84	2258451.0	2244510.0	2241134.0	13366.0	1904.0	2047.0	0.13	0.0	1.37	0.0	1.2	2372308.0	14.32	31154.0	0.19	0.0	17.31	0.06	0.0	0.0
s166-c54.1-0.000-HFWGVBBXX-l1	81.38	20277899.0	50.0	17203114.0	84.84	49.83	3091413.0	3070260.0	3063773.0	21454.0	2907.0	3279.0	0.13	0.0	1.47	0.0	1.21	2565544.0	12.65	37090.0	0.18	0.0	2.23	0.1	0.0	0.0
s014-c60.1-2.500-HCGYCBBXX-l5	189.11	19646125.0	50.0	15747891.0	80.16	49.85	3203257.0	3184715.0	3177492.0	20164.0	2262.0	3339.0	0.18	0.0	1.37	0.0	1.22	3753628.0	19.11	47155.0	0.24	0.0	0.44	0.06	0.0	0.0
s170-c54.1-5.000-HCN2JBBXX-l6	42.26	4484329.0	50.0	3097586.0	69.08	49.83	620589.0	616752.0	616915.0	2805.0	430.0	439.0	0.12	0.0	1.32	0.0	1.2	863089.0	19.25	12000.0	0.27	0.0	11.35	0.06	0.0	0.0
s158-c48.1-1.250-HFJTMBBXX-l3	140.91	18357210.0	50.0	14557018.0	79.3	49.83	2869502.0	2849871.0	2846103.0	17863.0	2662.0	2874.0	0.13	0.0	1.31	0.0	1.19	3063618.0	16.69	44690.0	0.24	0.0	3.69	0.08	0.0	0.0
s031-c39.1-0.000-HCHFWBBXX-l3	125.74	22318799.0	50.0	19307417.0	86.51	49.89	3493898.0	3470314.0	3460025.0	27354.0	3037.0	3482.0	0.13	0.0	1.42	0.0	1.26	2827442.0	12.67	40569.0	0.18	0.0	0.54	0.1	0.0	0.0
s189-c62-2.500-HFJTMBBXX-l4	80.82	20136848.0	50.0	15586933.0	77.41	49.85	3189573.0	3171396.0	3166752.0	17810.0	2450.0	2561.0	0.13	0.0	1.35	0.0	1.19	3059798.0	15.2	47030.0	0.23	0.0	7.1	0.06	0.0	0.0
s047-c19.1-0.625-HCMYYBBXX-l6	193.18	7083432.0	50.0	5663805.0	79.96	49.83	934724.0	924784.0	926029.0	6617.0	874.0	1204.0	0.13	0.0	1.4	0.0	1.22	935997.0	13.21	15650.0	0.22	0.0	6.46	0.14	0.0	0.0
s141-c43.1-0.000-HFJTMBBXX-l3	172.79	18622694.0	50.0	16124597.0	86.59	49.83	2785678.0	2766180.0	2759242.0	20794.0	2391.0	3251.0	0.13	0.0	1.44	0.0	1.22	2040075.0	10.95	32613.0	0.18	0.0	2.16	0.12	0.0	0.0
s012-c60.1-0.625-HCGYCBBXX-l5	152.92	14017816.0	50.0	12135166.0	86.57	49.85	2000360.0	1982200.0	1981382.0	14769.0	1663.0	2546.0	0.18	0.0	1.44	0.0	1.23	1766332.0	12.6	28860.0	0.21	0.0	0.49	0.14	0.0	0.0
s062-c25.1-0.625-HCHFWBBXX-l5	292.6	19344377.0	50.0	17053484.0	88.16	49.82	2730726.0	2704490.0	2704226.0	20555.0	2532.0	3413.0	0.14	0.0	1.41	0.0	1.22	2064053.0	10.67	38835.0	0.2	0.0	0.81	0.16	0.0	0.0
s222-c52.2-0.625-HCMJNBBXX-l6	246.7	34743097.0	50.0	30098258.0	86.63	49.83	5040084.0	4994430.0	4994333.0	35374.0	4183.0	6194.0	0.13	0.0	1.46	0.0	1.22	3734437.0	10.75	67160.0	0.19	0.0	2.28	0.14	0.0	0.0
s159-c48.1-2.500-HFJTMBBXX-l3	97.88	29037652.0	50.0	21723800.0	74.81	49.84	4378255.0	4351696.0	4342874.0	27072.0	4063.0	4246.0	0.13	0.0	1.32	0.0	1.2	5597516.0	19.28	77512.0	0.27	0.0	5.57	0.07	0.0	0.0
s162-c51-0.625-HCN2JBBXX-l6	29.85	8225664.0	50.0	7105848.0	86.39	49.81	1355209.0	1345080.0	1346055.0	6834.0	793.0	1527.0	0.14	0.0	1.5	0.0	1.25	864226.0	10.51	16079.0	0.2	0.0	2.78	0.13	0.0	0.0
s014-c60.1-2.500-HCMYYBBXX-l4	173.69	3956180.0	50.0	3176027.0	80.28	49.86	645840.0	642006.0	640660.0	4054.0	438.0	688.0	0.12	0.01	1.38	0.0	1.24	742561.0	18.77	9851.0	0.25	0.0	0.64	0.06	0.0	0.0
s146-c44-0.000-HFJTMBBXX-l3	203.64	18045046.0	50.0	15514710.0	85.98	49.86	2734825.0	2716631.0	2710726.0	18822.0	2533.0	2744.0	0.12	0.0	1.44	0.0	1.21	2114264.0	11.72	34870.0	0.19	0.0	2.0	0.11	0.0	0.0
s224-c52.2-2.500-HCMJNBBXX-l6	91.06	17984536.0	50.0	13306497.0	73.99	49.82	2756332.0	2739635.0	2736694.0	15079.0	2002.0	2557.0	0.13	0.0	1.37	0.0	1.2	3563057.0	19.81	46250.0	0.26	0.0	5.88	0.06	0.0	0.0
s064-c25.1-2.500-HCHFWBBXX-l5	127.41	16315502.0	50.0	13494097.0	82.71	49.83	2588810.0	2570227.0	2564982.0	19175.0	2060.0	2593.0	0.14	0.01	1.28	0.0	1.21	2673957.0	16.39	39484.0	0.24	0.0	0.57	0.09	0.0	0.0
s047-c19.1-0.625-HCHFWBBXX-l4	216.02	20761758.0	50.0	16874138.0	81.28	49.82	2779668.0	2750097.0	2753531.0	20049.0	2558.0	3530.0	0.14	0.0	1.4	0.0	1.21	2793850.0	13.46	46106.0	0.22	0.0	4.91	0.14	0.0	0.0
s206-c14-0.000-HCMJNBBXX-l5	84.38	16359462.0	50.0	12928418.0	79.03	49.84	2287364.0	2271681.0	2266841.0	15989.0	2236.0	2298.0	0.13	0.0	1.44	0.0	1.2	2174499.0	13.29	32088.0	0.2	0.0	7.38	0.1	0.0	0.0
s110-c30-5.000-HCMNYBBXX-l3	36.08	20032416.0	50.0	15196018.0	75.86	49.89	3230004.0	3208973.0	3206417.0	18398.0	2653.0	2536.0	0.17	0.0	1.4	0.0	1.22	3746327.0	18.7	55770.0	0.28	0.0	5.1	0.07	0.0	0.0
s012-c60.1-0.625-HCMYYBBXX-l4	53.18	1565917.0	50.0	1349820.0	86.2	49.86	223639.0	221543.0	221571.0	1600.0	193.0	275.0	0.12	0.0	1.45	0.0	1.23	193837.0	12.38	3258.0	0.21	0.0	1.08	0.13	0.0	0.0
